Sheet,date_collected,unique_id,date,time,agency,address,city,state,zip,county,lat,lng,suspect_name,suspect_race,suspect_age,suspect_gender,suspect_armed,suspect_status,suspect_weapon_type,suspect_photo,officer_name,officer_gender,officer_race,officer_weapon_type,officer_status,shots_fired,summary,justified,mental_illness,district_attorney_action,grand_jury,article_url,report_url,review_board_decision
baltimore,,Y,Y,Y,I,Y,I,I,,I,Y,Y,,,,,,Y,,,,,,Y,,,,,,,,,,
dallas,,Y,Y,,I,Y,I,I,,I,Y,Y,Y,,,,Y,Y,Y,,Y,y,y,Y,,,,,,,Y,,Y,
deadspin,Y,,Y,,Y,,Y,,,Y,,,Y,Y,Y,Y,Y,I,Y,,,,,Y,,Y,Y,,,,,Y,,
fatal encounters,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,I,,Y,,,,,,,Y,Y,Y,,,Y,,
the counted,,,Y,,Y,Y,Y,Y,,,,,Y,Y,Y,Y,Y,I,,,,,,,,,,,,,,,,
wapo,,Y,Y,,,,Y,Y,,,,,Y,Y,Y,Y,Y,I,,,,,,Y,,,,,Y,,,,,
wikipedia,,,,,,,Y,Y,,,,,Y,,Y,,,I,,,,,,,,,Y,,,,,Y,,
phillypolice,,Y,Y,,I,Y,I,I,,I,,,,,,,,Y,,,,,,,Y,,,,,Y,,,Y,Y
